k,Omega_over_k
1.290196138408277307e+02,3.352924149249552918e-09
1.302429121962335046e+02,3.486365227678087763e-09
1.314778092444410049e+02,3.625117049988527707e-09
1.327244149583559647e+02,3.769390975388363623e-09
1.339828403535913992e+02,3.919406774847229273e-09
1.352531974983535008e+02,4.075392965871778262e-09
1.365355995234225759e+02,4.237587160604054649e-09
1.378301606322273472e+02,4.406236427773572549e-09
1.391369961110153213e+02,4.581597669054500031e-09
1.404562223391195914e+02,4.763938010401341021e-09
1.417879567993228704e+02,4.953535208959160084e-09
1.431323180883199200e+02,5.150678076168121764e-09
1.444894259272791430e+02,5.568813990945266967e-09
1.458594011725036808e+02,5.790443980602494846e-09
1.472423658261951971e+02,6.020894493336125520e-09
1.486384430473179918e+02,6.260516572014827542e-09
1.500477571625670521e+02,6.509675230458164022e-09
1.514704336774397575e+02,6.768750009458541284e-09
1.529065992874128881e+02,7.038135554931547502e-09
1.543563818892252471e+02,7.318242219076181236e-09
1.558199105922674903e+02,7.609496685459867188e-09
1.572973157300799301e+02,7.912342618981326749e-09
1.587887288719587957e+02,8.227241341700456680e-09
1.602942828346739645e+02,8.895134973108255315e-09
1.618141116942962014e+02,9.249147277217334575e-09
1.633483507981373180e+02,9.617248711152944912e-09
1.648971367768035634e+02,1.000000000000000021e-08
1.664606075563630441e+02,1.039798418481489935e-08
1.680389023706287617e+02,1.081180751076607759e-08
1.696321617735578684e+02,1.124210035062086232e-08
1.712405276517688435e+02,1.168951816498577660e-08
1.728641432371763358e+02,1.215474250076288481e-08
1.745031531197477648e+02,1.263848202934297180e-08
1.761577032603788382e+02,1.314147362611758142e-08
1.778279410038922776e+02,1.366448349295324446e-08
1.795140150921594397e+02,1.420830832533923835e-08
1.812160756773464811e+02,1.536174946671829548e-08
1.829342743352860055e+02,1.597312280060252458e-08
1.846687640789755847e+02,1.660882782627716702e-08
1.864196993722043487e+02,1.726983290659432335e-08
1.881872361433079845e+02,1.795714494371640749e-08
1.899715317990559242e+02,1.867181091291920556e-08
1.917727452386683353e+02,1.941491945743881584e-08
1.935910368679669205e+02,2.018760254679038707e-08
1.954265686136598390e+02,2.099103720108554661e-08
1.972795039377619446e+02,2.182644728397487284e-08
1.991500078521517594e+02,2.269510536694668287e-08
2.029443893369366663e+02,2.453751106639816899e-08
2.048686048133601503e+02,2.652948464431894539e-08
2.068110647222205785e+02,2.758531617629186881e-08
2.087719420479465953e+02,2.868316813342009039e-08
2.107514114151173885e+02,2.982471286216894119e-08
2.127496491040134572e+02,3.101168926574775637e-08
2.147668330663152858e+02,3.224590545296398020e-08
2.168031429409507496e+02,3.352924149249553084e-08
2.188587600700925577e+02,3.486365227678087515e-08
2.209338675153079805e+02,3.625117049988528121e-08
2.230286500738602342e+02,3.769390975388363623e-08
2.251432942951668679e+02,3.919406774847221167e-08
2.272779884974119682e+02,4.075392965871777931e-08
2.294329227843167587e+02,4.237587160604063582e-08
2.316082890620693320e+02,4.406236427773572880e-08
2.338042810564145668e+02,4.581597669054491098e-08
2.360210943299066741e+02,4.763938010401340525e-08
2.382589262993234627e+02,4.763938010401340525e-08
2.405179762532499979e+02,4.953535208959170011e-08
2.427984453698225593e+02,5.150678076168121764e-08
2.451005367346472212e+02,5.355666917706896673e-08
2.474244553588842166e+02,5.568813990945266802e-08
2.497704081975053327e+02,5.790443980602495011e-08
2.521386041677241678e+02,6.020894493336125024e-08
2.545292541676010103e+02,6.020894493336125024e-08
2.569425710948245865e+02,6.260516572014828534e-08
2.593787698656703924e+02,6.509675230458164353e-08
2.618380674341416352e+02,6.768750009458541945e-08
2.643206828112886910e+02,7.038135554931546840e-08
2.668268370847132474e+02,7.318242219076182064e-08
2.693567534382573285e+02,7.609496685459867519e-08
2.719106571718785972e+02,7.609496685459867519e-08
2.744887757217141484e+02,7.912342618981326418e-08
2.770913386803351273e+02,8.227241341700457672e-08
2.797185778171926813e+02,8.554672535565683935e-08
2.823707270992573513e+02,8.895134973108236455e-08
2.850480227118562766e+02,9.249147277217334906e-08
2.877507030797053744e+02,9.617248711152963771e-08
2.904790088881426300e+02,9.617248711152963771e-08
2.932331831045617605e+02,9.999999999999999547e-08
2.960134710000499467e+02,1.039798418481489935e-07
2.988201201712298598e+02,1.081180751076607693e-07
3.045135044873413221e+02,1.124210035062086298e-07
3.103153641797168802e+02,1.215474250076285934e-07
3.132576166276780896e+02,1.263848202934297214e-07
3.162277660168379612e+02,1.314147362611755264e-07
3.192260768518036116e+02,1.366448349295324446e-07
3.222528161450804873e+02,1.477377652598509580e-07
3.253082534408508764e+02,1.536174946671829548e-07
3.283926608389776902e+02,1.597312280060252325e-07
3.315063130192368703e+02,1.660882782627716702e-07
3.346494872657771680e+02,1.726983290659436107e-07
3.378224634918156539e+02,1.795714494371640815e-07
3.410255242645637850e+02,1.867181091291920755e-07
3.442589548303915876e+02,2.018760254679038971e-07
3.475230431402300724e+02,2.099103720108554463e-07
3.508180798752146643e+02,2.182644728397487217e-07
3.541443584725716391e+02,2.269510536694668486e-07
3.575021751517484745e+02,2.359833466782193742e-07
3.608918289407972111e+02,2.551406520031287574e-07
3.643136217029993418e+02,2.652948464431894671e-07
3.677678581637518391e+02,2.758531617629181322e-07
3.712548459377026688e+02,2.868316813342009171e-07
3.747748955561452817e+02,2.982471286216893855e-07
3.783283204946728802e+02,3.224590545296398020e-07
3.819154372010949601e+02,3.352924149249553216e-07
3.855365651236185158e+02,3.486365227678087515e-07
3.891920267392943629e+02,3.625117049988535136e-07
3.928821475827393783e+02,3.769390975388363490e-07
3.966072562751215287e+02,3.919406774847221431e-07
4.041637673000108180e+02,4.406236427773573013e-07
4.079958425724005338e+02,4.581597669054491230e-07
4.118642516334209063e+02,4.581597669054491230e-07
4.399898145047984030e+02,5.568813990945267464e-07
4.483728882674180340e+02,6.020894493336125818e-07
4.526241319388085458e+02,6.020894493336125818e-07
4.569156837403886016e+02,6.260516572014827740e-07
4.612479258533454072e+02,6.509675230458163559e-07
4.700360278907436964e+02,6.768750009458541416e-07
4.744926704335557019e+02,7.038135554931547369e-07
4.789915685941838888e+02,7.318242219076181534e-07
4.835331230189040070e+02,7.318242219076181534e-07
4.881177381527160719e+02,7.609496685459882872e-07
4.927458222753616610e+02,7.912342618981326683e-07
4.974177875376839211e+02,7.912342618981326683e-07
5.117011505108637834e+02,8.554672535565684200e-07
5.165528405542972905e+02,8.554672535565684200e-07
5.214505318550155835e+02,8.895134973108236720e-07
5.263946605735426374e+02,9.249147277217334641e-07
5.313856670058546570e+02,9.249147277217334641e-07
5.364239956225906099e+02,9.249147277217334641e-07
5.415100951086342320e+02,9.249147277217334641e-07
5.466444184030696078e+02,9.617248711152963771e-07
5.518274227395203297e+02,9.617248711152963771e-07
5.570595696868664390e+02,9.999999999999999547e-07
5.623413251903490391e+02,9.999999999999999547e-07
5.676731596130650814e+02,9.999999999999999547e-07
5.730555477778551676e+02,1.039798418481489909e-06
5.784889690095886863e+02,1.039798418481489909e-06
5.839739071778493553e+02,1.081180751076607852e-06
5.895108507400270810e+02,1.081180751076607852e-06
5.951002927848143145e+02,1.081180751076607852e-06
6.064386680974027968e+02,1.124210035062086298e-06
6.121886110964048839e+02,1.168951816498577640e-06
6.179930721303394421e+02,1.168951816498577640e-06
6.238525681114844019e+02,1.168951816498577640e-06
6.297676208532175224e+02,1.168951816498577640e-06
6.357387571164829296e+02,1.168951816498577640e-06
6.417665086567086519e+02,1.168951816498577640e-06
6.478514122711529808e+02,1.168951816498577640e-06
6.539940098467149028e+02,1.168951816498577640e-06
6.601948484081890456e+02,1.168951816498577640e-06
6.664544801669809431e+02,1.168951816498577640e-06
6.727734625702834137e+02,1.168951816498577640e-06
6.791523583507204194e+02,1.168951816498577640e-06
6.855917355764611330e+02,1.168951816498577640e-06
6.920921677018050104e+02,1.168951816498577640e-06
6.986542336182587860e+02,1.215474250076285934e-06
7.119656098863212037e+02,1.215474250076285934e-06
7.187161056733717714e+02,1.168951816498577640e-06
7.255306062279817070e+02,1.168951816498577640e-06
7.324097184108022702e+02,1.168951816498577640e-06
7.393540548364288725e+02,1.168951816498577640e-06
7.463642339279576845e+02,1.124210035062086298e-06
7.534408799720549723e+02,1.081180751076607852e-06
7.605846231745612158e+02,1.081180751076607852e-06
7.677960997166024981e+02,1.081180751076607852e-06
7.750759518112540718e+02,1.081180751076607852e-06
7.824248277607280215e+02,1.039798418481489909e-06
7.898433820141082151e+02,1.039798418481489909e-06
7.973322752256319745e+02,9.999999999999999547e-07
8.125237525193892907e+02,9.999999999999999547e-07
8.517808440132835130e+02,9.999999999999999547e-07
8.598569967363345086e+02,9.999999999999999547e-07
8.680097234317453285e+02,9.999999999999999547e-07
8.762397501349740878e+02,9.999999999999999547e-07
8.845478097653788154e+02,9.999999999999999547e-07
8.929346421914826806e+02,9.999999999999999547e-07
9.099476200466968976e+02,9.999999999999999547e-07
9.185752805548255537e+02,9.999999999999999547e-07
9.272847441516195204e+02,9.617248711152963771e-07
9.629562524599029985e+02,8.895134973108236720e-07
9.720865138588806076e+02,8.554672535565684200e-07
9.813033437525335785e+02,8.554672535565684200e-07
