k,Omega_over_k
1.290196138408277307e+02,2.018760254679034708e-14
1.302429121962335046e+02,2.018760254679034708e-14
1.314778092444410049e+02,1.941491945743881520e-14
1.327244149583559647e+02,1.941491945743881520e-14
1.339828403535913992e+02,1.941491945743881520e-14
1.352531974983535008e+02,1.941491945743881520e-14
1.365355995234225759e+02,1.867181091291916856e-14
1.378301606322273472e+02,1.867181091291916856e-14
1.391369961110153213e+02,1.867181091291916856e-14
1.404562223391195914e+02,1.867181091291916856e-14
1.417879567993228704e+02,1.867181091291916856e-14
1.431323180883199200e+02,1.867181091291916856e-14
1.444894259272791430e+02,1.867181091291916856e-14
1.458594011725036808e+02,1.867181091291916856e-14
1.472423658261951971e+02,1.867181091291916856e-14
1.486384430473179918e+02,1.867181091291916856e-14
1.500477571625670521e+02,1.867181091291916856e-14
1.514704336774397575e+02,1.867181091291916856e-14
1.529065992874128881e+02,1.867181091291916856e-14
1.543563818892252471e+02,1.867181091291916856e-14
1.558199105922674903e+02,1.867181091291916856e-14
1.572973157300799301e+02,1.795714494371640857e-14
1.587887288719587957e+02,1.795714494371640857e-14
1.602942828346739645e+02,1.795714494371640857e-14
1.618141116942962014e+02,1.795714494371640857e-14
1.633483507981373180e+02,1.726983290659432526e-14
1.648971367768035634e+02,1.726983290659432526e-14
1.664606075563630441e+02,1.726983290659432526e-14
1.680389023706287617e+02,1.726983290659432526e-14
1.696321617735578684e+02,1.726983290659432526e-14
1.712405276517688435e+02,1.726983290659432526e-14
1.728641432371763358e+02,1.726983290659432526e-14
1.745031531197477648e+02,1.726983290659432526e-14
1.761577032603788382e+02,1.726983290659432526e-14
1.778279410038922776e+02,1.726983290659432526e-14
1.795140150921594397e+02,1.726983290659432526e-14
1.812160756773464811e+02,1.726983290659432526e-14
1.829342743352860055e+02,1.726983290659432526e-14
1.846687640789755847e+02,1.726983290659432526e-14
1.864196993722043487e+02,1.726983290659432526e-14
1.881872361433079845e+02,1.660882782627716594e-14
1.899715317990559242e+02,1.660882782627716594e-14
1.917727452386683353e+02,1.660882782627716594e-14
1.935910368679669205e+02,1.660882782627716594e-14
1.954265686136598390e+02,1.597312280060252229e-14
1.972795039377619446e+02,1.597312280060252229e-14
1.991500078521517594e+02,1.597312280060252229e-14
2.029443893369366663e+02,1.597312280060252229e-14
2.048686048133601503e+02,1.597312280060252229e-14
2.068110647222205785e+02,1.597312280060252229e-14
2.087719420479465953e+02,1.597312280060252229e-14
2.107514114151173885e+02,1.597312280060252229e-14
2.127496491040134572e+02,1.597312280060252229e-14
2.147668330663152858e+02,1.597312280060252229e-14
2.168031429409507496e+02,1.597312280060252229e-14
2.188587600700925577e+02,1.597312280060252229e-14
2.209338675153079805e+02,1.597312280060252229e-14
2.230286500738602342e+02,1.597312280060252229e-14
2.251432942951668679e+02,1.597312280060252229e-14
2.272779884974119682e+02,1.597312280060252229e-14
2.294329227843167587e+02,1.597312280060252229e-14
2.316082890620693320e+02,1.597312280060252229e-14
2.338042810564145668e+02,1.597312280060252229e-14
2.360210943299066741e+02,1.597312280060252229e-14
2.382589262993234627e+02,1.597312280060252229e-14
2.405179762532499979e+02,1.597312280060252229e-14
2.427984453698225593e+02,1.597312280060252229e-14
2.451005367346472212e+02,1.597312280060252229e-14
2.474244553588842166e+02,1.597312280060252229e-14
2.497704081975053327e+02,1.597312280060252229e-14
2.521386041677241678e+02,1.597312280060252229e-14
2.545292541676010103e+02,1.597312280060252229e-14
2.569425710948245865e+02,1.597312280060252229e-14
2.593787698656703924e+02,1.597312280060252229e-14
2.618380674341416352e+02,1.597312280060252229e-14
2.643206828112886910e+02,1.597312280060252229e-14
2.668268370847132474e+02,1.597312280060252229e-14
2.693567534382573285e+02,1.597312280060252229e-14
2.719106571718785972e+02,1.597312280060252229e-14
2.744887757217141484e+02,1.597312280060252229e-14
2.770913386803351273e+02,1.597312280060252229e-14
2.797185778171926813e+02,1.597312280060252229e-14
2.823707270992573513e+02,1.597312280060252229e-14
2.850480227118562766e+02,1.597312280060252229e-14
2.877507030797053744e+02,1.597312280060252229e-14
2.904790088881426300e+02,1.597312280060252229e-14
2.932331831045617605e+02,1.597312280060252229e-14
2.960134710000499467e+02,1.597312280060252229e-14
2.988201201712298598e+02,1.597312280060252229e-14
3.045135044873413221e+02,1.597312280060252229e-14
3.074007466526898043e+02,1.597312280060252229e-14
3.103153641797168802e+02,1.597312280060252229e-14
3.132576166276780896e+02,1.597312280060252229e-14
3.162277660168379612e+02,1.597312280060252229e-14
3.192260768518036116e+02,1.660882782627716594e-14
3.222528161450804873e+02,1.726983290659432526e-14
3.253082534408508764e+02,1.726983290659432526e-14
3.283926608389776902e+02,1.726983290659432526e-14
3.315063130192368703e+02,1.726983290659432526e-14
3.346494872657771680e+02,1.726983290659432526e-14
3.378224634918156539e+02,1.726983290659432526e-14
3.410255242645637850e+02,1.795714494371640857e-14
3.442589548303915876e+02,1.795714494371640857e-14
3.475230431402300724e+02,1.867181091291916856e-14
3.508180798752146643e+02,1.867181091291916856e-14
3.541443584725716391e+02,1.867181091291916856e-14
3.575021751517484745e+02,1.867181091291916856e-14
3.608918289407972111e+02,1.867181091291916856e-14
3.643136217029993418e+02,1.867181091291916856e-14
3.677678581637518391e+02,1.941491945743881520e-14
3.712548459377026688e+02,1.941491945743881520e-14
3.747748955561452817e+02,2.018760254679034708e-14
3.783283204946728802e+02,2.018760254679034708e-14
3.819154372010949601e+02,2.018760254679034708e-14
3.855365651236185158e+02,2.018760254679034708e-14
3.891920267392943629e+02,2.018760254679034708e-14
3.928821475827393783e+02,2.018760254679034708e-14
3.966072562751215287e+02,2.099103720108554529e-14
4.041637673000108180e+02,2.182644728397491785e-14
4.079958425724005338e+02,2.182644728397491785e-14
4.118642516334209063e+02,2.182644728397491785e-14
4.157693389815754017e+02,2.182644728397491785e-14
4.197114523817273835e+02,2.182644728397491785e-14
4.236909428960681225e+02,2.269510536694668522e-14
4.277081649153850549e+02,2.269510536694668522e-14
4.317634761906156768e+02,2.359833466782198675e-14
4.358572378647117489e+02,2.359833466782198675e-14
4.399898145047984030e+02,2.359833466782198675e-14
4.441615741346407162e+02,2.359833466782198675e-14
4.483728882674180340e+02,2.359833466782198675e-14
4.526241319388085458e+02,2.359833466782198675e-14
4.569156837403886016e+02,2.453751106639816881e-14
4.612479258533454072e+02,2.453751106639816881e-14
4.656212440825170802e+02,2.551406520031292548e-14
4.700360278907436964e+02,2.551406520031292548e-14
4.744926704335557019e+02,2.551406520031292548e-14
4.789915685941838888e+02,2.551406520031292548e-14
4.835331230189040070e+02,2.551406520031292548e-14
4.881177381527160719e+02,2.551406520031292548e-14
4.927458222753616610e+02,2.652948464431894688e-14
4.974177875376839211e+02,2.652948464431894688e-14
5.068950296608012422e+02,2.758531617629187080e-14
5.117011505108637834e+02,2.758531617629187080e-14
5.165528405542972905e+02,2.758531617629187080e-14
5.214505318550155835e+02,2.758531617629187080e-14
5.263946605735426374e+02,2.758531617629187080e-14
5.313856670058546570e+02,2.758531617629187080e-14
5.364239956225906099e+02,2.758531617629187080e-14
5.415100951086342320e+02,2.758531617629187080e-14
5.466444184030696078e+02,2.758531617629187080e-14
5.518274227395203297e+02,2.758531617629187080e-14
5.570595696868664390e+02,2.758531617629187080e-14
5.623413251903490391e+02,2.758531617629187080e-14
5.676731596130650814e+02,2.758531617629187080e-14
5.730555477778551676e+02,2.758531617629187080e-14
5.784889690095886863e+02,2.758531617629187080e-14
5.839739071778493553e+02,2.758531617629187080e-14
5.895108507400270810e+02,2.758531617629187080e-14
5.951002927848143145e+02,2.758531617629187080e-14
6.064386680974027968e+02,2.758531617629187080e-14
6.121886110964048839e+02,2.652948464431894688e-14
6.179930721303394421e+02,2.758531617629187080e-14
6.238525681114844019e+02,2.758531617629187080e-14
6.297676208532175224e+02,2.758531617629187080e-14
6.357387571164829296e+02,2.758531617629187080e-14
6.417665086567086519e+02,2.758531617629187080e-14
6.478514122711529808e+02,2.758531617629187080e-14
6.539940098467149028e+02,2.758531617629187080e-14
6.601948484081890456e+02,2.868316813342009044e-14
6.664544801669809431e+02,2.868316813342009044e-14
6.727734625702834137e+02,2.982471286216893806e-14
6.791523583507204194e+02,2.982471286216893806e-14
6.855917355764611330e+02,2.982471286216893806e-14
6.920921677018050104e+02,2.982471286216893806e-14
6.986542336182587860e+02,2.982471286216893806e-14
7.119656098863212037e+02,3.101168926574775472e-14
7.187161056733717714e+02,3.101168926574775472e-14
7.255306062279817070e+02,3.101168926574775472e-14
7.324097184108022702e+02,3.224590545296397627e-14
7.393540548364288725e+02,3.224590545296397627e-14
7.463642339279576845e+02,3.224590545296397627e-14
7.534408799720549723e+02,3.224590545296397627e-14
7.605846231745612158e+02,3.224590545296397627e-14
7.677960997166024981e+02,3.224590545296397627e-14
7.750759518112540718e+02,3.224590545296397627e-14
7.824248277607280215e+02,3.224590545296397627e-14
7.898433820141082151e+02,3.224590545296397627e-14
7.973322752256319745e+02,3.224590545296397627e-14
8.125237525193892907e+02,3.352924149249553251e-14
8.202276894681639305e+02,3.486365227678087440e-14
8.280046712286477941e+02,3.486365227678087440e-14
8.358553903745903426e+02,3.486365227678087440e-14
8.437805460463764575e+02,3.486365227678087440e-14
8.517808440132835130e+02,3.625117049988527837e-14
8.598569967363345086e+02,3.769390975388363129e-14
8.680097234317453285e+02,3.769390975388363129e-14
8.762397501349740878e+02,3.769390975388363129e-14
8.845478097653788154e+02,3.769390975388363129e-14
8.929346421914826806e+02,3.919406774847213055e-14
9.099476200466968976e+02,4.075392965871777840e-14
9.185752805548255537e+02,4.075392965871777840e-14
9.272847441516195204e+02,4.075392965871777840e-14
9.360767864523583057e+02,4.075392965871777840e-14
9.449521904263107217e+02,4.075392965871777840e-14
9.539117464664620911e+02,4.075392965871777840e-14
9.629562524599029985e+02,3.919406774847213055e-14
9.720865138588806076e+02,3.919406774847213055e-14
9.813033437525335785e+02,3.919406774847213055e-14
9.906075629392971678e+02,3.769390975388363129e-14
1.019052881421936149e+03,3.769390975388363129e-14
1.028715022524397000e+03,3.769390975388363129e-14
1.038468775134350608e+03,3.769390975388363129e-14
1.048315007865518737e+03,3.625117049988527837e-14
1.058254597567368592e+03,3.625117049988527837e-14
1.068288429403216469e+03,3.486365227678087440e-14
1.078417396929039569e+03,3.486365227678087440e-14
1.088642402173062464e+03,3.486365227678087440e-14
1.098964355716081627e+03,3.486365227678087440e-14
1.109384176772557566e+03,3.486365227678087440e-14
1.119902793272475719e+03,3.352924149249553251e-14
1.130521141943977227e+03,3.352924149249553251e-14
1.141240168396791205e+03,3.352924149249553251e-14
1.152060827206427575e+03,3.352924149249553251e-14
1.162984081999205728e+03,3.352924149249553251e-14
1.174010905538050565e+03,3.352924149249553251e-14
1.185142279809135744e+03,3.486365227678087440e-14
1.196379196109326813e+03,3.486365227678087440e-14
1.207722655134462229e+03,3.352924149249553251e-14
1.219173667068470422e+03,3.352924149249553251e-14
1.230733251673324958e+03,3.224590545296397627e-14
1.242402438379873047e+03,3.224590545296397627e-14
1.254182266379492148e+03,3.224590545296397627e-14
1.266073784716649016e+03,3.224590545296397627e-14
1.278078052382315718e+03,3.224590545296397627e-14
1.290196138408277193e+03,3.101168926574775472e-14
1.302429121962334875e+03,2.982471286216893806e-14
1.314778092444410049e+03,2.982471286216893806e-14
1.327244149583561011e+03,2.982471286216893806e-14
1.339828403535912685e+03,2.868316813342009044e-14
1.352531974983535065e+03,2.758531617629187080e-14
1.365355995234225929e+03,2.758531617629187080e-14
1.378301606322273528e+03,2.652948464431894688e-14
1.391369961110153099e+03,2.551406520031292548e-14
1.404562223391195857e+03,2.551406520031292548e-14
1.417879567993228875e+03,2.551406520031292548e-14
1.431323180883199257e+03,2.453751106639816881e-14
1.444894259272791260e+03,2.359833466782198675e-14
1.458594011725035216e+03,2.269510536694668522e-14
1.472423658261951914e+03,2.182644728397491785e-14
1.486384430473179918e+03,2.099103720108554529e-14
1.500477571625670407e+03,2.018760254679034708e-14
1.514704336774397689e+03,2.018760254679034708e-14
1.529065992874129051e+03,2.018760254679034708e-14
1.587887288719586422e+03,2.018760254679034708e-14
1.602942828346739816e+03,2.018760254679034708e-14
1.618141116942962071e+03,1.941491945743881520e-14
1.633483507981373123e+03,1.867181091291916856e-14
1.648971367768035407e+03,1.795714494371640857e-14
1.664606075563630384e+03,1.726983290659432526e-14
1.680389023706289436e+03,1.726983290659432526e-14
1.696321617735578684e+03,1.660882782627716594e-14
1.712405276517688435e+03,1.597312280060252229e-14
1.728641432371761539e+03,1.597312280060252229e-14
1.745031531197477534e+03,1.536174946671829691e-14
1.812160756773464982e+03,1.366448349295324367e-14
1.829342743352862044e+03,1.314147362611758109e-14
1.899715317990559242e+03,1.124210035062088573e-14
1.917727452386683353e+03,1.081180751076607832e-14
1.935910368679669091e+03,1.039798418481492163e-14
1.954265686136598333e+03,9.999999999999999988e-15
1.972795039377619560e+03,9.999999999999999988e-15
1.991500078521519754e+03,9.999999999999999988e-15
2.029443893369366833e+03,9.617248711152944733e-15
2.294329227843167700e+03,6.768750009458541049e-15
2.316082890620693433e+03,6.509675230458163881e-15
2.338042810564145839e+03,6.260516572014828100e-15
2.451005367346472212e+03,5.355666917706907838e-15
2.474244553588842336e+03,5.355666917706907838e-15
2.497704081975053668e+03,5.150678076168122214e-15
2.521386041677241792e+03,4.953535208959179780e-15
2.545292541676009932e+03,4.953535208959179780e-15
2.569425710948245523e+03,4.763938010401340306e-15
2.593787698656701195e+03,4.581597669054481342e-15
2.618380674341416579e+03,4.406236427773572858e-15
2.643206828112886797e+03,4.237587160604054476e-15
2.668268370847132701e+03,4.075392965871777683e-15
2.823707270992570557e+03,3.486365227678087677e-15
2.850480227118562652e+03,3.352924149249553172e-15
2.877507030797054085e+03,3.224590545296398021e-15
2.904790088881426072e+03,3.101168926574775472e-15
2.932331831045617946e+03,3.101168926574775472e-15
